[2026-05-23 14:15:18] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=142.250.180.14, Port=22
[2026-05-23 14:15:18] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:19] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55291
[2026-05-23 14:15:21] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=50.1.2.3, Port=28589
[2026-05-23 14:15:21] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55291
[2026-05-23 14:15:22] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:22] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=8.8.8.8, Port=53
[2026-05-23 14:15:24] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:25] Zarejestrowano alert: Protokół=TCP, Źródło=159.124.21.33, Cel=192.168.0.13, Port=57518
[2026-05-23 14:15:25] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:25] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=104.20.30.40, Port=55114
[2026-05-23 14:15:26] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:26] Zarejestrowano alert: Protokół=TCP, Źródło=192.168.0.13, Cel=128.116.21.3, Port=443
[2026-05-23 14:15:27] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:27] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=17.12.34.56, Port=52008
[2026-05-23 14:15:28] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:28] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:28] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:28] Zarejestrowano alert: Protokół=TCP, Źródło=192.168.0.13, Cel=20.42.65.85, Port=443
[2026-05-23 14:15:29] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:29] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:29] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=80.99.88.77, Port=22
[2026-05-23 14:15:31] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:31] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=104.20.30.40, Port=53
[2026-05-23 14:15:31] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:32] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:32] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:32] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=56167
[2026-05-23 14:15:33] Zarejestrowano alert: Protokół=TCP, Źródło=192.168.0.13, Cel=20.42.65.85, Port=443
[2026-05-23 14:15:33] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=104.20.30.40, Port=54931
[2026-05-23 14:15:35] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:35] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:36] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:37] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:38] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:38] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:38] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:40] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=56167
[2026-05-23 14:15:41] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:42] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=50.1.2.3, Port=22
[2026-05-23 14:15:42] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:42] Zarejestrowano alert: Protokół=TCP, Źródło=20.42.65.85, Cel=192.168.0.13, Port=56805
